id;name;internalName;volatile;returnClass;minParamCount;maxParamCount;params
0;COUNT;COUNT;0;V;1;-1;RX
1;IF;IF;0;R;2;3;VO|RO
2;ISNA;ISNA;0;V;1;1;VR
3;ISERROR;ISERROR;0;V;1;1;VR
4;SUM;SUM;0;V;1;-1;RX
5;AVERAGE;AVERAGE;0;V;1;-1;RX
6;MIN;MIN;0;V;1;-1;RX
7;MAX;MAX;0;V;1;-1;RX
8;ROW;ROW;0;V;0;1;RO
9;COLUMN;COLUMN;0;V;0;1;RO
10;NA;NA;0;V;0;0;
11;NPV;NPV;0;V;2;-1;VR|RX
12;STDEV;STDEV;0;V;1;-1;RX
13;DOLLAR;DOLLAR;0;V;1;2;VR
14;FIXED;FIXED;0;V;1;3;VR
15;SIN;SIN;0;V;1;1;VR
16;COS;COS;0;V;1;1;VR
17;TAN;TAN;0;V;1;1;VR
18;ATAN;ATAN;0;V;1;1;VR
19;PI;PI;0;V;0;0;
20;SQRT;SQRT;0;V;1;1;VR
21;EXP;EXP;0;V;1;1;VR
22;LN;LN;0;V;1;1;VR
23;LOG10;LOG10;0;V;1;1;VR
24;ABS;ABS;0;V;1;1;VR
25;INT;INT;0;V;1;1;VR
26;SIGN;SIGN;0;V;1;1;VR
27;ROUND;ROUND;0;V;2;2;VR
28;LOOKUP;LOOKUP;0;V;2;3;VR|RA
29;INDEX;INDEX;0;R;2;4;RA|VV
30;REPT;REPT;0;V;2;2;VR
31;MID;MID;0;V;3;3;VR
32;LEN;LEN;0;V;1;1;VR
33;VALUE;VALUE;0;V;1;1;VR
34;TRUE;TRUE;0;V;0;0;
35;FALSE;FALSE;0;V;0;0;
36;AND;AND;0;V;1;-1;RX
37;OR;OR;0;V;1;-1;RX
38;NOT;NOT;0;V;1;1;VR
39;MOD;MOD;0;V;2;2;VR
40;DCOUNT;DCOUNT;0;V;3;3;RO|RR
41;DSUM;DSUM;0;V;3;3;RO|RR
42;DAVERAGE;DAVERAGE;0;V;3;3;RO|RR
43;DMIN;DMIN;0;V;3;3;RO|RR
44;DMAX;DMAX;0;V;3;3;RO|RR
45;DSTDEV;DSTDEV;0;V;3;3;RO|RR
46;VAR;VAR;0;V;1;-1;RX
47;DVAR;DVAR;0;V;3;3;RO|RR
48;TEXT;TEXT;0;V;2;2;VR
49;LINEST;LINEST;0;A;1;4;RA|RA|VV
50;TREND;TREND;0;A;1;4;RA|RA|RA|VV
51;LOGEST;LOGEST;0;A;1;4;RA|RA|VV
52;GROWTH;GROWTH;0;A;1;4;RA|RA|RA|VV
56;PV;PV;0;V;3;5;VR
57;FV;FV;0;V;3;5;VR
58;NPER;NPER;0;V;3;5;VR
59;PMT;PMT;0;V;3;5;VR
60;RATE;RATE;0;V;3;6;VR
61;MIRR;MIRR;0;V;3;3;RA|VR
62;IRR;IRR;0;V;1;2;RA|VR
63;RAND;RAND;1;V;0;0;
64;MATCH;MATCH;0;V;2;3;VR|RX|RR
65;DATE;DATE;0;V;3;3;VR
66;TIME;TIME;0;V;3;3;VR
67;DAY;DAY;0;V;1;1;VR
68;MONTH;MONTH;0;V;1;1;VR
69;YEAR;YEAR;0;V;1;1;VR
70;WEEKDAY;WEEKDAY;0;V;1;2;VR
71;HOUR;HOUR;0;V;1;1;VR
72;MINUTE;MINUTE;0;V;1;1;VR
73;SECOND;SECOND;0;V;1;1;VR
74;NOW;NOW;1;V;0;0;
75;AREAS;AREAS;0;V;1;1;RO
76;ROWS;ROWS;0;V;1;1;RO
77;COLUMNS;COLUMNS;0;V;1;1;RO
78;OFFSET;OFFSET;1;R;3;5;RO|VR
82;SEARCH;SEARCH;0;V;2;3;VR
83;TRANSPOSE;TRANSPOSE;0;A;1;1;VO
86;TYPE;TYPE;0;V;1;1;VX
97;ATAN2;ATAN2;0;V;2;2;VR
98;ASIN;ASIN;0;V;1;1;VR
99;ACOS;ACOS;0;V;1;1;VR
100;CHOOSE;CHOOSE;0;R;2;-1;VO|RO
101;HLOOKUP;HLOOKUP;0;V;3;4;VV|RO|RO|VV
102;VLOOKUP;VLOOKUP;0;V;3;4;VV|RO|RO|VV
105;ISREF;ISREF;0;V;1;1;RX
109;LOG;LOG;0;V;1;2;VR
111;CHAR;CHAR;0;V;1;1;VR
112;LOWER;LOWER;0;V;1;1;VR
113;UPPER;UPPER;0;V;1;1;VR
114;PROPER;PROPER;0;V;1;1;VR
115;LEFT;LEFT;0;V;1;2;VR
116;RIGHT;RIGHT;0;V;1;2;VR
117;EXACT;EXACT;0;V;2;2;VR
118;TRIM;TRIM;0;V;1;1;VR
119;REPLACE;REPLACE;0;V;4;4;VR
120;SUBSTITUTE;SUBSTITUTE;0;V;3;4;VR
121;CODE;CODE;0;V;1;1;VR
124;FIND;FIND;0;V;2;3;VR
125;CELL;CELL;1;V;1;2;VV|RO
126;ISERR;ISERR;0;V;1;1;VR
127;ISTEXT;ISTEXT;0;V;1;1;VR
128;ISNUMBER;ISNUMBER;0;V;1;1;VR
129;ISBLANK;ISBLANK;0;V;1;1;VR
130;T;T;0;V;1;1;RO
131;N;N;0;V;1;1;RO
140;DATEVALUE;DATEVALUE;0;V;1;1;VR
141;TIMEVALUE;TIMEVALUE;0;V;1;1;VR
142;SLN;SLN;0;V;3;3;VR
143;SYD;SYD;0;V;4;4;VR
144;DDB;DDB;0;V;4;5;VR
148;INDIRECT;INDIRECT;1;R;1;2;VR
162;CLEAN;CLEAN;0;V;1;1;VR
163;MDETERM;MDETERM;0;V;1;1;VA
164;MINVERSE;MINVERSE;0;A;1;1;VA
165;MMULT;MMULT;0;A;2;2;VA
167;IPMT;IPMT;0;V;4;6;VR
168;PPMT;PPMT;0;V;4;6;VR
169;COUNTA;COUNTA;0;V;1;-1;RX
183;PRODUCT;PRODUCT;0;V;1;-1;RX
184;FACT;FACT;0;V;1;1;VR
189;DPRODUCT;DPRODUCT;0;V;3;3;RO|RR
190;ISNONTEXT;ISNONTEXT;0;V;1;1;VR
193;STDEVP;STDEVP;0;V;1;-1;RX
194;VARP;VARP;0;V;1;-1;RX
195;DSTDEVP;DSTDEVP;0;V;3;3;RO|RR
196;DVARP;DVARP;0;V;3;3;RO|RR
197;TRUNC;TRUNC;0;V;1;2;VR
